time,EG,EU,GU
2020-08-20 07:00:00,0.90528,1.18388,1.30771
2020-08-20 07:01:00,0.9057799999999999,1.18404,1.30712
2020-08-20 07:02:00,0.9058200000000001,1.18386,1.30683
2020-08-20 07:03:00,0.90585,1.18386,1.30681
2020-08-20 07:04:00,0.9061799999999999,1.18401,1.30654
2020-08-20 07:05:00,0.9062100000000001,1.1843,1.30678
2020-08-20 07:06:00,0.9061299999999999,1.18443,1.30705
2020-08-20 07:07:00,0.90636,1.18497,1.30728
2020-08-20 07:08:00,0.90659,1.18559,1.30765
2020-08-20 07:09:00,0.9067799999999999,1.18559,1.30742
2020-08-20 07:10:00,0.90664,1.18559,1.30763
2020-08-20 07:11:00,0.90665,1.18579,1.30782
2020-08-20 07:12:00,0.90654,1.18569,1.30785
2020-08-20 07:13:00,0.9065700000000001,1.18566,1.30775
2020-08-20 07:14:00,0.9066299999999999,1.18575,1.30775
2020-08-20 07:15:00,0.90641,1.18548,1.30781
2020-08-20 07:16:00,0.9063899999999999,1.18547,1.30785
2020-08-20 07:17:00,0.90638,1.18544,1.30782
2020-08-20 07:18:00,0.9063200000000001,1.1853,1.30773
2020-08-20 07:19:00,0.9064200000000001,1.1854,1.30772
2020-08-20 07:20:00,0.9064700000000001,1.18562,1.30793
2020-08-20 07:21:00,0.90628,1.18593,1.3085
2020-08-20 07:22:00,0.90643,1.18623,1.30863
2020-08-20 07:23:00,0.9063700000000001,1.18611,1.30854
2020-08-20 07:24:00,0.90654,1.1863,1.30858
2020-08-20 07:25:00,0.90655,1.18623,1.30842
2020-08-20 07:26:00,0.90664,1.18616,1.30823
2020-08-20 07:27:00,0.9066200000000001,1.18632,1.30842
2020-08-20 07:28:00,0.90659,1.18614,1.30828
2020-08-20 07:29:00,0.9065200000000001,1.18625,1.30849
2020-08-20 07:30:00,0.90656,1.18659,1.30881
2020-08-20 07:31:00,0.9066,1.18654,1.30871
2020-08-20 07:32:00,0.9065,1.18644,1.30874
2020-08-20 07:33:00,0.90655,1.18679,1.30903
2020-08-20 07:34:00,0.90641,1.1867,1.30917
2020-08-20 07:35:00,0.90638,1.18655,1.30903
2020-08-20 07:36:00,0.9061899999999999,1.18652,1.30926
2020-08-20 07:37:00,0.9060600000000001,1.18624,1.30918
2020-08-20 07:38:00,0.9061100000000001,1.18611,1.30892
2020-08-20 07:39:00,0.9061299999999999,1.18633,1.30912
2020-08-20 07:40:00,0.9062,1.18623,1.30891
2020-08-20 07:41:00,0.90601,1.18627,1.30927
2020-08-20 07:42:00,0.90607,1.18633,1.30925
2020-08-20 07:43:00,0.90596,1.18628,1.30934
2020-08-20 07:44:00,0.90576,1.18606,1.30942
2020-08-20 07:45:00,0.9057700000000001,1.1861,1.30941
2020-08-20 07:46:00,0.9058799999999999,1.18593,1.30905
2020-08-20 07:47:00,0.90594,1.18586,1.30894
2020-08-20 07:48:00,0.90591,1.18579,1.30887
2020-08-20 07:49:00,0.90595,1.1857,1.30871
2020-08-20 07:50:00,0.90585,1.18546,1.30856
2020-08-20 07:51:00,0.9057799999999999,1.18538,1.30858
2020-08-20 07:52:00,0.9056200000000001,1.18537,1.30881
